ticker,short,long,strategy_cagr,bh_cagr,edge,strategy_sharpe,bh_sharpe,sharpe_edge,strategy_max_drawdown,bh_max_drawdown,round_trip_trades,pct_days_in_market
NEE,5,150,0.020356497367873816,0.09723928023575779,-0.07688278286788397,0.06686729416258765,0.3729533653970374,-0.30608607123444975,-0.3842527501328176,-0.4496971183692851,17.0,59.378881987577635
NEE,5,200,-0.03674105149804574,0.08373152639942516,-0.1204725778974709,-0.19378118460998464,0.32927061836841204,-0.5230518029783967,-0.4480712100871516,-0.4496971183692861,16.0,60.256410256410255
NEE,10,50,0.044327677480954675,0.1061865741056327,-0.06185889662467803,0.18523611149054275,0.40424963308972983,-0.21901352159918708,-0.30841419841262996,-0.44969711836928494,21.5,61.16959064327485
NEE,10,100,0.023911219895384583,0.09888126593355784,-0.07497004603817325,0.08927314907587926,0.3796262640632825,-0.29035311498740324,-0.4254413415377632,-0.4496971183692844,14.0,60.8433734939759
NEE,10,150,-0.006762488430439473,0.09723928023575779,-0.10400176866619726,-0.05544047534000068,0.3729533653970374,-0.42839384073703807,-0.4642645201271606,-0.4496971183692851,13.0,58.94409937888199
NEE,10,200,-0.026887798867159418,0.08373152639942516,-0.11061932526658458,-0.14612425909750162,0.32927061836841204,-0.4753948774659137,-0.4685987264539881,-0.4496971183692861,10.0,60.0
NEE,20,50,0.0610003286426708,0.1061865741056327,-0.045186245462961905,0.2651303366741247,0.40424963308972983,-0.1391192964156051,-0.3313731239081148,-0.44969711836928494,18.5,62.69005847953216
NEE,20,100,-0.0015071581605903273,0.09888126593355784,-0.10038842409414817,-0.02821655551677806,0.3796262640632825,-0.4078428195800605,-0.5377308811686795,-0.4496971183692844,10.0,60.54216867469879
NEE,20,150,0.014845504670100818,0.09723928023575779,-0.08239377556565697,0.054582080256728276,0.3729533653970374,-0.3183712851403091,-0.46047785433612337,-0.4496971183692851,8.0,58.13664596273293
NEE,20,200,0.010195192518598795,0.08373152639942516,-0.07353633388082637,0.04011092665988576,0.32927061836841204,-0.2891596917085263,-0.44853605774767996,-0.4496971183692861,8.0,60.51282051282051
NEE,30,50,-0.028849741079922664,0.1061865741056327,-0.13503631518555537,-0.1590877897069944,0.40424963308972983,-0.5633374227967243,-0.5201720685079962,-0.44969711836928494,20.5,63.2748538011696
NEE,30,100,0.0314077953731291,0.09888126593355784,-0.06747347056042874,0.13105905071109034,0.3796262640632825,-0.24856721335219215,-0.5242931831985488,-0.4496971183692844,9.0,59.81927710843373
NEE,30,150,0.015411987156550566,0.09723928023575779,-0.08182729307920722,0.06379120693193024,0.3729533653970374,-0.30916215846510714,-0.4981092094742011,-0.4496971183692851,8.0,58.19875776397515
NEE,30,200,0.01148937342652312,0.08373152639942516,-0.07224215297290204,0.05093909209120865,0.32927061836841204,-0.27833152627720337,-0.4859395110726639,-0.4496971183692861,8.0,60.128205128205124
NEE,50,100,0.08412769804481446,0.09888126593355784,-0.01475356788874338,0.3521375831042037,0.3796262640632825,-0.027488680959078804,-0.3668079055873057,-0.4496971183692844,8.0,60.48192771084337
NEE,50,150,0.04896220757336245,0.09723928023575779,-0.04827707266239534,0.20736299171352357,0.3729533653970374,-0.16559037368351381,-0.3724695885972966,-0.4496971183692851,6.0,57.7639751552795
NEE,50,200,0.02507498523949203,0.08373152639942516,-0.05865654115993313,0.11087749453682867,0.32927061836841204,-0.21839312383158338,-0.3563176884030869,-0.4496971183692861,6.0,60.96153846153847
DUK,5,50,-0.01101509712655302,0.08101022080756937,-0.09202531793412239,-0.19321530673289034,0.3412170715246362,-0.5344323782575265,-0.3363053962555691,-0.37371864174848024,34.5,60.23391812865497
DUK,5,100,-0.030053176345368637,0.08482286141915663,-0.11487603776452526,-0.30972219707829557,0.3551383492774917,-0.6648605463557873,-0.3794667844977341,-0.37371864174847996,28.5,64.93975903614458
DUK,5,150,0.005810082182658549,0.09132762533178784,-0.0855175431491293,-0.05620462061139587,0.3792316324821954,-0.43543625309359124,-0.3538828807153512,-0.37371864174848013,16.5,70.6832298136646
DUK,5,200,0.02566486866395623,0.07701341779186821,-0.05134854912791198,0.06974269917239635,0.31960770185361265,-0.2498650026812163,-0.23265577880522892,-0.3737186417484801,13.5,70.51282051282051
DUK,10,50,-0.028783117568462968,0.08101022080756937,-0.10979333837603233,-0.31499933571685973,0.3412170715246362,-0.656216407241496,-0.3852756263511825,-0.37371864174848024,29.5,59.590643274853804
